neurons,activation,batch_size,opt,hops,score1,score2
16,relu,8,SGD,10,0.8289473684210527,0.9708704592186429
16,relu,8,SGD,20,0.8377192982456141,0.9666437414030261
16,relu,8,SGD,30,0.8114035087719298,0.966183574879227
16,relu,16,SGD,10,0.793859649122807,0.9660726525017135
16,relu,16,SGD,20,0.793859649122807,0.96939477303989
16,relu,16,SGD,30,0.8026315789473685,0.966183574879227
16,relu,32,SGD,10,0.7675438596491229,0.9653872515421522
16,relu,32,SGD,20,0.8201754385964912,0.9656121045392022
16,relu,32,SGD,30,0.7675438596491229,0.9616977225672878
16,relu,8,Adam,10,0.8114035087719298,0.9633310486634681
16,relu,8,Adam,20,0.8245614035087719,0.9704264099037139
16,relu,8,Adam,30,0.8157894736842105,0.9696342305037957
16,relu,16,Adam,10,0.8026315789473685,0.9650445510623715
16,relu,16,Adam,20,0.868421052631579,0.9645804676753783
16,relu,16,Adam,30,0.793859649122807,0.966183574879227
16,relu,32,Adam,10,0.7807017543859649,0.9633310486634681
16,relu,32,Adam,20,0.7719298245614035,0.9638927097661623
16,relu,32,Adam,30,0.793859649122807,0.9641131815044859
16,relu,8,RMSprop,10,0.7894736842105263,0.9609321453050035
16,relu,8,RMSprop,20,0.8947368421052632,0.9508253094910591
16,relu,8,RMSprop,30,0.8771929824561403,0.9465148378191857
16,relu,16,RMSprop,10,0.7850877192982456,0.9592186429061
16,relu,16,RMSprop,20,0.7850877192982456,0.9635488308115543
16,relu,16,RMSprop,30,0.8070175438596491,0.9572118702553485
16,relu,32,RMSprop,10,0.7763157894736842,0.957162440027416
16,relu,32,RMSprop,20,0.7807017543859649,0.9642365887207703
16,relu,32,RMSprop,30,0.7894736842105263,0.9620427881297446
16,relu,8,Adadelta,10,0.75,0.18437285812200138
16,relu,8,Adadelta,20,0.29385964912280704,0.5852819807427786
16,relu,8,Adadelta,30,0.4956140350877193,0.3481711525189786
16,relu,16,Adadelta,10,0.8114035087719298,0.6477039067854695
16,relu,16,Adadelta,20,0.5526315789473685,0.6530261348005502
16,relu,16,Adadelta,30,0.5657894736842105,0.6497584541062802
16,relu,32,Adadelta,10,0.36403508771929827,0.7128169979437972
16,relu,32,Adadelta,20,0.9780701754385965,0.08872077028885832
16,relu,32,Adadelta,30,0.4605263157894737,0.6759834368530021
16,sigmoid,8,SGD,10,0.7807017543859649,0.9705277587388622
16,sigmoid,8,SGD,20,0.7763157894736842,0.96767537826685
16,sigmoid,8,SGD,30,0.7763157894736842,0.9696342305037957
16,sigmoid,16,SGD,10,0.7631578947368421,0.9684715558601782
16,sigmoid,16,SGD,20,0.7631578947368421,0.968707015130674
16,sigmoid,16,SGD,30,0.7807017543859649,0.968944099378882
16,sigmoid,32,SGD,10,0.7719298245614035,0.9688142563399589
16,sigmoid,32,SGD,20,0.7631578947368421,0.968707015130674
16,sigmoid,32,SGD,30,0.7763157894736842,0.9685990338164251
16,sigmoid,8,Adam,10,0.8245614035087719,0.9677861549006168
16,sigmoid,8,Adam,20,0.8157894736842105,0.968707015130674
16,sigmoid,8,Adam,30,0.7894736842105263,0.968944099378882
16,sigmoid,16,Adam,10,0.8333333333333334,0.9681288553803975
16,sigmoid,16,Adam,20,0.7894736842105263,0.96939477303989
16,sigmoid,16,Adam,30,0.8026315789473685,0.9699792960662525
16,sigmoid,32,Adam,10,0.8114035087719298,0.9674434544208362
16,sigmoid,32,Adam,20,0.8157894736842105,0.969050894085282
16,sigmoid,32,Adam,30,0.8026315789473685,0.9696342305037957
16,sigmoid,8,RMSprop,10,0.8070175438596491,0.9657299520219328
16,sigmoid,8,RMSprop,20,0.8201754385964912,0.9625171939477304
16,sigmoid,8,RMSprop,30,0.7894736842105263,0.9637681159420289
16,sigmoid,16,RMSprop,10,0.8026315789473685,0.9660726525017135
16,sigmoid,16,RMSprop,20,0.8026315789473685,0.9656121045392022
16,sigmoid,16,RMSprop,30,0.8157894736842105,0.9654934437543133
16,sigmoid,32,RMSprop,10,0.8157894736842105,0.9694996572995203
16,sigmoid,32,RMSprop,20,0.8157894736842105,0.9680192572214581
16,sigmoid,32,RMSprop,30,0.8201754385964912,0.966528640441684
16,sigmoid,8,Adadelta,10,1.0,0.07813570938999315
16,sigmoid,8,Adadelta,20,0.9824561403508771,0.18019257221458046
16,sigmoid,8,Adadelta,30,0.02631578947368421,0.6763285024154589
16,sigmoid,16,Adadelta,10,0.9429824561403509,0.08293351610692255
16,sigmoid,16,Adadelta,20,1.0,0.07840440165061899
16,sigmoid,16,Adadelta,30,0.0,0.9213250517598344
16,sigmoid,32,Adadelta,10,0.017543859649122806,0.9215215901302262
16,sigmoid,32,Adadelta,20,0.0,0.921595598349381
16,sigmoid,32,Adadelta,30,0.0,0.9213250517598344
16,tanh,8,SGD,10,0.7675438596491229,0.9619602467443454
16,tanh,8,SGD,20,0.7412280701754386,0.9680192572214581
16,tanh,8,SGD,30,0.8201754385964912,0.966183574879227
16,tanh,16,SGD,10,0.7412280701754386,0.9629883481836875
16,tanh,16,SGD,20,0.7719298245614035,0.9645804676753783
16,tanh,16,SGD,30,0.7192982456140351,0.9641131815044859
16,tanh,32,SGD,10,0.7149122807017544,0.9633310486634681
16,tanh,32,SGD,20,0.7236842105263158,0.9632049518569463
16,tanh,32,SGD,30,0.7587719298245614,0.9675638371290545
16,tanh,8,Adam,10,0.8026315789473685,0.9664153529814942
16,tanh,8,Adam,20,0.793859649122807,0.9666437414030261
16,tanh,8,Adam,30,0.75,0.9627329192546584
16,tanh,16,Adam,10,0.7982456140350878,0.9636737491432488
16,tanh,16,Adam,20,0.7587719298245614,0.9632049518569463
16,tanh,16,Adam,30,0.7412280701754386,0.966183574879227
16,tanh,32,Adam,10,0.7982456140350878,0.9633310486634681
16,tanh,32,Adam,20,0.7894736842105263,0.9669876203576341
16,tanh,32,Adam,30,0.7675438596491229,0.9620427881297446
16,tanh,8,RMSprop,10,0.7543859649122807,0.9609321453050035
16,tanh,8,RMSprop,20,0.8201754385964912,0.9635488308115543
16,tanh,8,RMSprop,30,0.7894736842105263,0.9648033126293996
16,tanh,16,RMSprop,10,0.7894736842105263,0.9647018505825908
16,tanh,16,RMSprop,20,0.7675438596491229,0.9649243466299863
16,tanh,16,RMSprop,30,0.7412280701754386,0.9641131815044859
16,tanh,32,RMSprop,10,0.7763157894736842,0.9633310486634681
16,tanh,32,RMSprop,20,0.7543859649122807,0.9645804676753783
16,tanh,32,RMSprop,30,0.7543859649122807,0.9634230503795721
16,tanh,8,Adadelta,10,0.6929824561403509,0.7978067169294037
16,tanh,8,Adadelta,20,0.5614035087719298,0.9494497936726273
16,tanh,8,Adadelta,30,0.2543859649122807,0.5172532781228434
16,tanh,16,Adadelta,10,0.25877192982456143,0.6980808773132282
16,tanh,16,Adadelta,20,0.32894736842105265,0.2513755158184319
16,tanh,16,Adadelta,30,0.5701754385964912,0.5676328502415459
16,tanh,32,Adadelta,10,0.20614035087719298,0.5589444825222756
16,tanh,32,Adadelta,20,0.8552631578947368,0.24896836313617607
16,tanh,32,Adadelta,30,0.5526315789473685,0.5324361628709455
32,relu,8,SGD,10,0.7982456140350878,0.9667580534612749
32,relu,8,SGD,20,0.8201754385964912,0.9680192572214581
32,relu,8,SGD,30,0.8026315789473685,0.9641131815044859
32,relu,16,SGD,10,0.8070175438596491,0.9671007539410555
32,relu,16,SGD,20,0.8157894736842105,0.9635488308115543
32,relu,16,SGD,30,0.8421052631578947,0.9596273291925466
32,relu,32,SGD,10,0.8377192982456141,0.9492803289924606
32,relu,32,SGD,20,0.793859649122807,0.9652682255845942
32,relu,32,SGD,30,0.8245614035087719,0.9641131815044859
32,relu,8,Adam,10,0.7807017543859649,0.9636737491432488
32,relu,8,Adam,20,0.8026315789473685,0.96939477303989
32,relu,8,Adam,30,0.7763157894736842,0.9634230503795721
32,relu,16,Adam,10,0.7719298245614035,0.9643591501028101
32,relu,16,Adam,20,0.7763157894736842,0.9638927097661623
32,relu,16,Adam,30,0.8114035087719298,0.9641131815044859
32,relu,32,Adam,10,0.75,0.9561343385880741
32,relu,32,Adam,20,0.7763157894736842,0.9628610729023384
32,relu,32,Adam,30,0.7368421052631579,0.9537612146307799
32,relu,8,RMSprop,10,0.7675438596491229,0.9616175462645647
32,relu,8,RMSprop,20,0.8421052631578947,0.9632049518569463
32,relu,8,RMSprop,30,0.7456140350877193,0.9651483781918565
32,relu,16,RMSprop,10,0.793859649122807,0.9595613433858807
32,relu,16,RMSprop,20,0.7368421052631579,0.9563273727647867
32,relu,16,RMSprop,30,0.7894736842105263,0.9575569358178054
32,relu,32,RMSprop,10,0.7675438596491229,0.9609321453050035
32,relu,32,RMSprop,20,0.7982456140350878,0.9597661623108665
32,relu,32,RMSprop,30,0.7894736842105263,0.966183574879227
32,relu,8,Adadelta,10,0.0,0.9215215901302262
32,relu,8,Adadelta,20,0.6096491228070176,0.6987620357634112
32,relu,8,Adadelta,30,0.3026315789473684,0.8630089717046239
32,relu,16,Adadelta,10,0.013157894736842105,0.8779986291980809
32,relu,16,Adadelta,20,0.5131578947368421,0.7307427785419532
32,relu,16,Adadelta,30,0.40789473684210525,0.8623188405797102
32,relu,32,Adadelta,10,0.7807017543859649,0.8334475668265936
32,relu,32,Adadelta,20,0.9254385964912281,0.12895460797799174
32,relu,32,Adadelta,30,0.05263157894736842,0.9220151828847482
32,sigmoid,8,SGD,10,0.7763157894736842,0.9681288553803975
32,sigmoid,8,SGD,20,0.7719298245614035,0.9683631361760661
32,sigmoid,8,SGD,30,0.7587719298245614,0.9685990338164251
32,sigmoid,16,SGD,10,0.7763157894736842,0.969842357779301
32,sigmoid,16,SGD,20,0.7807017543859649,0.9700825309491059
32,sigmoid,16,SGD,30,0.7675438596491229,0.9672187715665976
32,sigmoid,32,SGD,10,0.7543859649122807,0.9681288553803975
32,sigmoid,32,SGD,20,0.7763157894736842,0.96939477303989
32,sigmoid,32,SGD,30,0.7675438596491229,0.968944099378882
32,sigmoid,8,Adam,10,0.8026315789473685,0.9653872515421522
32,sigmoid,8,Adam,20,0.7894736842105263,0.96939477303989
32,sigmoid,8,Adam,30,0.8157894736842105,0.9648033126293996
32,sigmoid,16,Adam,10,0.8114035087719298,0.9623029472241261
32,sigmoid,16,Adam,20,0.8201754385964912,0.9683631361760661
32,sigmoid,16,Adam,30,0.8245614035087719,0.9675638371290545
32,sigmoid,32,Adam,10,0.8114035087719298,0.9677861549006168
32,sigmoid,32,Adam,20,0.8157894736842105,0.96767537826685
32,sigmoid,32,Adam,30,0.8114035087719298,0.9668737060041408
32,sigmoid,8,RMSprop,10,0.8026315789473685,0.9636737491432488
32,sigmoid,8,RMSprop,20,0.8114035087719298,0.9638927097661623
32,sigmoid,8,RMSprop,30,0.8070175438596491,0.9623878536922015
32,sigmoid,16,RMSprop,10,0.8245614035087719,0.9657299520219328
32,sigmoid,16,RMSprop,20,0.8201754385964912,0.9645804676753783
32,sigmoid,16,RMSprop,30,0.8464912280701754,0.9634230503795721
32,sigmoid,32,RMSprop,10,0.8157894736842105,0.9626456477039068
32,sigmoid,32,RMSprop,20,0.8377192982456141,0.9645804676753783
32,sigmoid,32,RMSprop,30,0.8289473684210527,0.966183574879227
32,sigmoid,8,Adadelta,10,1.0,0.07813570938999315
32,sigmoid,8,Adadelta,20,0.0,0.921595598349381
32,sigmoid,8,Adadelta,30,0.0,0.9213250517598344
32,sigmoid,16,Adadelta,10,0.0,0.9201507882111035
32,sigmoid,16,Adadelta,20,0.5745614035087719,0.5220082530949106
32,sigmoid,16,Adadelta,30,0.9824561403508771,0.0862663906142167
32,sigmoid,32,Adadelta,10,1.0,0.07813570938999315
32,sigmoid,32,Adadelta,20,0.0,0.921595598349381
32,sigmoid,32,Adadelta,30,0.0,0.9213250517598344
32,tanh,8,SGD,10,0.7631578947368421,0.9609321453050035
32,tanh,8,SGD,20,0.7543859649122807,0.9635488308115543
32,tanh,8,SGD,30,0.7412280701754386,0.9654934437543133
32,tanh,16,SGD,10,0.7105263157894737,0.9640164496230295
32,tanh,16,SGD,20,0.7631578947368421,0.9666437414030261
32,tanh,16,SGD,30,0.7587719298245614,0.9648033126293996
32,tanh,32,SGD,10,0.7850877192982456,0.9694996572995203
32,tanh,32,SGD,20,0.7280701754385965,0.9666437414030261
32,tanh,32,SGD,30,0.7675438596491229,0.966528640441684
32,tanh,8,Adam,10,0.7324561403508771,0.9629883481836875
32,tanh,8,Adam,20,0.7412280701754386,0.9635488308115543
32,tanh,8,Adam,30,0.8070175438596491,0.9630779848171153
32,tanh,16,Adam,10,0.7456140350877193,0.9619602467443454
32,tanh,16,Adam,20,0.7763157894736842,0.9638927097661623
32,tanh,16,Adam,30,0.7763157894736842,0.9682539682539683
32,tanh,32,Adam,10,0.7850877192982456,0.9657299520219328
32,tanh,32,Adam,20,0.8070175438596491,0.967331499312242
32,tanh,32,Adam,30,0.7719298245614035,0.9630779848171153
32,tanh,8,RMSprop,10,0.7807017543859649,0.9653872515421522
32,tanh,8,RMSprop,20,0.7763157894736842,0.9632049518569463
32,tanh,8,RMSprop,30,0.7631578947368421,0.9644582470669427
32,tanh,16,RMSprop,10,0.8026315789473685,0.9667580534612749
32,tanh,16,RMSprop,20,0.7850877192982456,0.9642365887207703
32,tanh,16,RMSprop,30,0.7412280701754386,0.9630779848171153
32,tanh,32,RMSprop,10,0.7543859649122807,0.9619602467443454
32,tanh,32,RMSprop,20,0.7719298245614035,0.9628610729023384
32,tanh,32,RMSprop,30,0.7675438596491229,0.9644582470669427
32,tanh,8,Adadelta,10,0.5877192982456141,0.9533927347498287
32,tanh,8,Adadelta,20,0.6096491228070176,0.953920220082531
32,tanh,8,Adadelta,30,0.4473684210526316,0.800552104899931
32,tanh,16,Adadelta,10,0.4868421052631579,0.5126799177518848
32,tanh,16,Adadelta,20,0.34649122807017546,0.7125171939477304
32,tanh,16,Adadelta,30,0.5175438596491229,0.48757763975155277
32,tanh,32,Adadelta,10,0.6710526315789473,0.7289239204934886
32,tanh,32,Adadelta,20,0.5219298245614035,0.7754470426409904
32,tanh,32,Adadelta,30,0.4692982456140351,0.6783988957902002
64,relu,8,SGD,10,0.7850877192982456,0.9677861549006168
64,relu,8,SGD,20,0.793859649122807,0.9659559834938102
64,relu,8,SGD,30,0.7982456140350878,0.9672187715665976
64,relu,16,SGD,10,0.8070175438596491,0.9619602467443454
64,relu,16,SGD,20,0.7894736842105263,0.9632049518569463
64,relu,16,SGD,30,0.0,0.0
64,relu,32,SGD,10,0.7587719298245614,0.9640164496230295
64,relu,32,SGD,20,0.7982456140350878,0.9662998624484181
64,relu,32,SGD,30,0.8201754385964912,0.9675638371290545
64,relu,8,Adam,10,0.7675438596491229,0.9640164496230295
64,relu,8,Adam,20,0.7280701754385965,0.9573590096286108
64,relu,8,Adam,30,0.7456140350877193,0.9561766735679779
64,relu,16,Adam,10,0.7456140350877193,0.9537354352296094
64,relu,16,Adam,20,0.793859649122807,0.9642365887207703
64,relu,16,Adam,30,0.7587719298245614,0.9654934437543133
64,relu,32,Adam,10,0.7456140350877193,0.9619602467443454
64,relu,32,Adam,20,0.793859649122807,0.9597661623108665
64,relu,32,Adam,30,0.7763157894736842,0.9637681159420289
64,relu,8,RMSprop,10,0.7894736842105263,0.9496230294722413
64,relu,8,RMSprop,20,0.7675438596491229,0.9559834938101788
64,relu,8,RMSprop,30,0.8377192982456141,0.966528640441684
64,relu,16,RMSprop,10,0.7982456140350878,0.9599040438656614
64,relu,16,RMSprop,20,0.7456140350877193,0.9625171939477304
64,relu,16,RMSprop,30,0.7675438596491229,0.9592822636300897
64,relu,32,RMSprop,10,0.8201754385964912,0.9605894448252228
64,relu,32,RMSprop,20,0.7675438596491229,0.9625171939477304
64,relu,32,RMSprop,30,0.8026315789473685,0.9568668046928916
64,relu,8,Adadelta,10,0.6008771929824561,0.9568197395476353
64,relu,8,Adadelta,20,0.9166666666666666,0.6351444291609354
64,relu,8,Adadelta,30,0.5745614035087719,0.9289164941338854
64,relu,16,Adadelta,10,0.32456140350877194,0.6716929403701165
64,relu,16,Adadelta,20,0.5570175438596491,0.3466299862448418
64,relu,16,Adadelta,30,0.07456140350877193,0.9082125603864735
64,relu,32,Adadelta,10,0.08771929824561403,0.5051405071967101
64,relu,32,Adadelta,20,0.34649122807017546,0.7379642365887208
64,relu,32,Adadelta,30,0.23684210526315788,0.44306418219461696
64,sigmoid,8,SGD,10,0.7807017543859649,0.9674434544208362
64,sigmoid,8,SGD,20,0.7982456140350878,0.9680192572214581
64,sigmoid,8,SGD,30,0.7807017543859649,0.9685990338164251
64,sigmoid,16,SGD,10,0.7807017543859649,0.969842357779301
64,sigmoid,16,SGD,20,0.7587719298245614,0.9683631361760661
64,sigmoid,16,SGD,30,0.7631578947368421,0.9685990338164251
64,sigmoid,32,SGD,10,0.7543859649122807,0.9688142563399589
64,sigmoid,32,SGD,20,0.7719298245614035,0.969050894085282
64,sigmoid,32,SGD,30,0.7719298245614035,0.9692891649413389
64,sigmoid,8,Adam,10,0.8201754385964912,0.9701850582590815
64,sigmoid,8,Adam,20,0.8201754385964912,0.9638927097661623
64,sigmoid,8,Adam,30,0.8114035087719298,0.9696342305037957
64,sigmoid,16,Adam,10,0.8026315789473685,0.9633310486634681
64,sigmoid,16,Adam,20,0.8114035087719298,0.9662998624484181
64,sigmoid,16,Adam,30,0.8245614035087719,0.9672187715665976
64,sigmoid,32,Adam,10,0.8289473684210527,0.9674434544208362
64,sigmoid,32,Adam,20,0.8245614035087719,0.9659559834938102
64,sigmoid,32,Adam,30,0.8245614035087719,0.9679089026915114
64,sigmoid,8,RMSprop,10,0.8245614035087719,0.9629883481836875
64,sigmoid,8,RMSprop,20,0.8245614035087719,0.9587345254470426
64,sigmoid,8,RMSprop,30,0.8157894736842105,0.9637681159420289
64,sigmoid,16,RMSprop,10,0.8377192982456141,0.9647018505825908
64,sigmoid,16,RMSprop,20,0.8377192982456141,0.9656121045392022
64,sigmoid,16,RMSprop,30,0.8464912280701754,0.9668737060041408
64,sigmoid,32,RMSprop,10,0.8377192982456141,0.9647018505825908
64,sigmoid,32,RMSprop,20,0.8333333333333334,0.9638927097661623
64,sigmoid,32,RMSprop,30,0.8201754385964912,0.9644582470669427
64,sigmoid,8,Adadelta,10,1.0,0.07813570938999315
64,sigmoid,8,Adadelta,20,0.0,0.921595598349381
64,sigmoid,8,Adadelta,30,0.0,0.9213250517598344
64,sigmoid,16,Adadelta,10,0.0,0.9218642906100069
64,sigmoid,16,Adadelta,20,0.0,0.921595598349381
64,sigmoid,16,Adadelta,30,0.0,0.9213250517598344
64,sigmoid,32,Adadelta,10,0.0,0.9218642906100069
64,sigmoid,32,Adadelta,20,1.0,0.07840440165061899
64,sigmoid,32,Adadelta,30,0.0,0.9213250517598344
64,tanh,8,SGD,10,0.7807017543859649,0.9671007539410555
64,tanh,8,SGD,20,0.7763157894736842,0.968707015130674
64,tanh,8,SGD,30,0.7675438596491229,0.9630779848171153
64,tanh,16,SGD,10,0.7280701754385965,0.9647018505825908
64,tanh,16,SGD,20,0.7807017543859649,0.9669876203576341
64,tanh,16,SGD,30,0.8114035087719298,0.9634230503795721
64,tanh,32,SGD,10,0.7631578947368421,0.9671007539410555
64,tanh,32,SGD,20,0.7675438596491229,0.9666437414030261
64,tanh,32,SGD,30,0.7543859649122807,0.9651483781918565
64,tanh,8,Adam,10,0.7412280701754386,0.9612748457847841
64,tanh,8,Adam,20,0.7587719298245614,0.9662998624484181
64,tanh,8,Adam,30,0.8070175438596491,0.9672187715665976
64,tanh,16,Adam,10,0.7719298245614035,0.9626456477039068
64,tanh,16,Adam,20,0.75,0.9611416781292985
64,tanh,16,Adam,30,0.8114035087719298,0.9651483781918565
64,tanh,32,Adam,10,0.7719298245614035,0.9650445510623715
64,tanh,32,Adam,20,0.7456140350877193,0.9632049518569463
64,tanh,32,Adam,30,0.7982456140350878,0.9682539682539683
64,tanh,8,RMSprop,10,0.7412280701754386,0.9533927347498287
64,tanh,8,RMSprop,20,0.793859649122807,0.9645804676753783
64,tanh,8,RMSprop,30,0.7807017543859649,0.966183574879227
64,tanh,16,RMSprop,10,0.7719298245614035,0.9660726525017135
64,tanh,16,RMSprop,20,0.7763157894736842,0.9638927097661623
64,tanh,16,RMSprop,30,0.7587719298245614,0.9561766735679779
64,tanh,32,RMSprop,10,0.7763157894736842,0.9657299520219328
64,tanh,32,RMSprop,20,0.8026315789473685,0.9642365887207703
64,tanh,32,RMSprop,30,0.6754385964912281,0.9510006901311249
64,tanh,8,Adadelta,10,0.6491228070175439,0.9588759424263193
64,tanh,8,Adadelta,20,0.618421052631579,0.9570151306740028
64,tanh,8,Adadelta,30,0.5350877192982456,0.9082125603864735
64,tanh,16,Adadelta,10,0.2631578947368421,0.6041809458533242
64,tanh,16,Adadelta,20,0.5877192982456141,0.9556396148555708
64,tanh,16,Adadelta,30,0.5964912280701754,0.9530710835058661
64,tanh,32,Adadelta,10,0.5789473684210527,0.955106237148732
64,tanh,32,Adadelta,20,0.5526315789473685,0.9508253094910591
64,tanh,32,Adadelta,30,0.2412280701754386,0.7605244996549344
